seed,family,feature_view,test_accuracy,test_auroc,test_auprc
10,linear,covariates,0.6679425837320574,0.7598716538320498,0.7962792031909374
10,linear,covariates_plus_bioemu,0.7100478468899522,0.7900843417675101,0.8153380684254654
10,linear,embedding,0.7014354066985646,0.7767620095342869,0.8027791020648604
10,tree,covariates,0.6277511961722488,0.6876916024935826,0.6816485926105689
10,tree,covariates_plus_bioemu,0.7090909090909091,0.7904033736707005,0.8125421467081719
10,tree,embedding,0.6909090909090909,0.7776237623762376,0.8050808001982707
11,linear,covariates,0.6945273631840796,0.7740986281405442,0.803589782239533
11,linear,covariates_plus_bioemu,0.7442786069651741,0.8223038050882363,0.8350518280798116
11,linear,embedding,0.7512437810945274,0.8202206697715679,0.8329220275430201
11,tree,covariates,0.6457711442786069,0.696672131926623,0.6918513854530298
11,tree,covariates_plus_bioemu,0.7522388059701492,0.8200028514399773,0.8291550531070232
11,tree,embedding,0.7303482587064677,0.8112742768431391,0.8206736331158326
12,linear,covariates,0.6742424242424242,0.7683840413318024,0.7994920539706285
12,linear,covariates_plus_bioemu,0.7140151515151515,0.784522101033295,0.8098433010578951
12,linear,embedding,0.7054924242424242,0.7784443168771527,0.8044303111087057
12,tree,covariates,0.6543560606060606,0.698982850172216,0.6939716006958188
12,tree,covariates_plus_bioemu,0.7017045454545454,0.7941051951779563,0.8163010284180794
12,tree,embedding,0.6998106060606061,0.778300803673938,0.8006540304995926
13,linear,covariates,0.6758293838862559,0.7391765551959727,0.7833546007638179
13,linear,covariates_plus_bioemu,0.7165876777251184,0.7874541531823085,0.8125764904352868
13,linear,embedding,0.7203791469194313,0.7839877741819488,0.8099014190365124
13,tree,covariates,0.6445497630331753,0.6812010068320749,0.6866410764343471
13,tree,covariates_plus_bioemu,0.7260663507109004,0.788586839266451,0.8142761671586318
13,tree,embedding,0.7137440758293839,0.7778425026968716,0.8044652789701873
14,linear,covariates,0.6712962962962963,0.7489845626072041,0.7846902747833573
14,linear,covariates_plus_bioemu,0.7268518518518519,0.8004871355060033,0.8241149533752927
14,linear,embedding,0.7277777777777777,0.8011663807890224,0.824662103257551
14,tree,covariates,0.6277777777777778,0.6714408233276158,0.6767272961841152
14,tree,covariates_plus_bioemu,0.737037037037037,0.8044939965694682,0.835160360160273
14,tree,embedding,0.725,0.797835334476844,0.8236585214343983
15,linear,covariates,0.698292220113852,0.7733297326492035,0.7843040969175309
15,linear,covariates_plus_bioemu,0.706831119544592,0.7798397695562156,0.8073063197487319
15,linear,embedding,0.6992409867172675,0.7773949050319561,0.8072072330844774
15,tree,covariates,0.6328273244781784,0.6854244306418219,0.6695242021046234
15,tree,covariates_plus_bioemu,0.683111954459203,0.7653578179854172,0.7619521122096047
15,tree,embedding,0.6793168880455408,0.7654964443244215,0.7641227084648412
16,linear,covariates,0.706831119544592,0.7732289134935639,0.7843240611406894
16,linear,covariates_plus_bioemu,0.7229601518026565,0.7995679179044018,0.8228252031238366
16,linear,embedding,0.7191650853889943,0.7948690251147719,0.8192813633149089
16,tree,covariates,0.6537001897533207,0.6956107660455486,0.6833555017109354
16,tree,covariates_plus_bioemu,0.7001897533206831,0.7678602934557566,0.7689989699329928
16,tree,embedding,0.7049335863377609,0.7681573498964804,0.7734407282642475
17,linear,covariates,0.6755218216318786,0.7546709874876226,0.7671312740184038
17,linear,covariates_plus_bioemu,0.7229601518026565,0.7961220631920065,0.8182463750215321
17,linear,embedding,0.7182163187855788,0.7972814834818616,0.8181135614866011
17,tree,covariates,0.6404174573055028,0.6766369610225943,0.6680989380857492
17,tree,covariates_plus_bioemu,0.6859582542694497,0.7563381042398056,0.7846600704899851
17,tree,embedding,0.6897533206831119,0.773389143937348,0.7909511907217359
18,linear,covariates,0.6935483870967742,0.7608785669277163,0.7727057963897379
18,linear,covariates_plus_bioemu,0.7248576850094877,0.7959060221442074,0.8125511505756412
18,linear,embedding,0.7239089184060721,0.7899216851201729,0.8059698096199459
18,tree,covariates,0.6432637571157496,0.7015176883607886,0.695222619016066
18,tree,covariates_plus_bioemu,0.7049335863377609,0.7720496894409936,0.7601452947788163
18,tree,embedding,0.6925996204933587,0.7599099828967504,0.756063269105929
19,linear,covariates,0.681214421252372,0.7549482401656316,0.7740682525242792
19,linear,covariates_plus_bioemu,0.7030360531309298,0.7765127374201098,0.7976147925113896
19,linear,embedding,0.7039848197343453,0.7724979746151768,0.7941308811852514
19,tree,covariates,0.6451612903225806,0.691298946799892,0.6938112947394811
19,tree,covariates_plus_bioemu,0.7011385199240987,0.7782518678548924,0.7899763126462538
19,tree,embedding,0.6821631878557874,0.7712899450895669,0.7697635002691328
