seed,family,feature_view,test_accuracy,test_auroc,test_auprc
10,linear,raw_esmfold,0.6938388625592417,0.7667169811320754,0.7459033496017231
10,tree,raw_esmfold,0.7023696682464455,0.7814914645103325,0.7805752899452378
10,linear,residual_plddt,0.6843601895734597,0.7537394429469901,0.7324364533278165
10,tree,residual_plddt,0.6966824644549763,0.7803324348607367,0.7860892244972754
10,linear,residual_full_covariates,0.6388625592417062,0.7154752920035938,0.7134567969386528
10,tree,residual_full_covariates,0.6758293838862559,0.7506558849955075,0.7466045924885096
11,linear,raw_esmfold,0.7014218009478673,0.7628571428571427,0.7430170471610658
11,tree,raw_esmfold,0.7080568720379147,0.7671087151841869,0.7570635540197546
11,linear,residual_plddt,0.6862559241706161,0.7483917340521113,0.7346731068790304
11,tree,residual_plddt,0.7080568720379147,0.7725390835579515,0.7648485193050709
11,linear,residual_full_covariates,0.6549763033175355,0.7068427672955975,0.6977368683958622
11,tree,residual_full_covariates,0.6654028436018957,0.7225229110512129,0.7069898141562283
