evaluation,seed,family,feature_view,test_n,test_accuracy,test_auroc,test_auprc
frozen_seed42,42,linear,mean_only,1057,0.5894039735099338,0.6128081745469127,0.6209132185795999
frozen_seed42,42,linear,distribution,1057,0.6130558183538316,0.6413646681417513,0.6331031700051825
frozen_seed42,42,tree,mean_only,1057,0.5931882686849574,0.6121583496237101,0.6131645322703775
frozen_seed42,42,tree,distribution,1057,0.6215704824976348,0.6539512219572798,0.6484196978325045
repeated,10,linear,mean_only,1055,0.5914691943127962,0.6438454627133873,0.6312555077791312
repeated,10,linear,distribution,1055,0.6218009478672986,0.6683270440251572,0.6671586196095829
repeated,10,tree,mean_only,1055,0.6199052132701421,0.6373153638814015,0.6191855878624988
repeated,10,tree,distribution,1055,0.6341232227488152,0.6747026055705301,0.6673801213986086
repeated,11,linear,mean_only,1055,0.5677725118483412,0.6165498652291105,0.6166184382401136
repeated,11,linear,distribution,1055,0.5971563981042654,0.6371176999101528,0.6343847880449913
repeated,11,tree,mean_only,1055,0.5744075829383887,0.6110026954177897,0.60457306752494
repeated,11,tree,distribution,1055,0.6170616113744076,0.644093441150045,0.6439290855387942
repeated,12,linear,mean_only,1055,0.5933649289099526,0.6393656783468105,0.6424780772061902
repeated,12,linear,distribution,1055,0.6208530805687204,0.6613746630727763,0.6610185148310705
repeated,12,tree,mean_only,1055,0.6132701421800948,0.6350745732255166,0.6276828953122999
repeated,12,tree,distribution,1055,0.6255924170616114,0.6625067385444744,0.6509643372422019
repeated,13,linear,mean_only,1055,0.6246445497630332,0.6717124887690926,0.6715377531407019
repeated,13,linear,distribution,1055,0.6341232227488152,0.6896100628930817,0.689636557704036
repeated,13,tree,mean_only,1055,0.6199052132701421,0.6627690925426774,0.6628663352553406
repeated,13,tree,distribution,1055,0.6587677725118484,0.6902461814914645,0.7003951019213196
repeated,14,linear,mean_only,1055,0.6104265402843602,0.6609721473495058,0.6454142881161262
repeated,14,linear,distribution,1055,0.6549763033175355,0.6922174303683738,0.6793906275120083
repeated,14,tree,mean_only,1055,0.6398104265402843,0.6589056603773584,0.6331743138256282
repeated,14,tree,distribution,1055,0.6559241706161137,0.6878274932614554,0.6746993110398377
repeated,15,linear,mean_only,1055,0.6066350710900474,0.6473548966756514,0.6644166926601643
repeated,15,linear,distribution,1055,0.6360189573459716,0.6701221922731357,0.6732226657385321
repeated,15,tree,mean_only,1055,0.6123222748815166,0.6417771787960467,0.6468690298114096
repeated,15,tree,distribution,1055,0.628436018957346,0.6676406109613657,0.6626462304291141
repeated,16,linear,mean_only,1055,0.6123222748815166,0.654839173405211,0.646772012194855
repeated,16,linear,distribution,1055,0.6170616113744076,0.6687996406109615,0.6635575560036604
repeated,16,tree,mean_only,1055,0.6218009478672986,0.6477951482479786,0.6318575934451346
repeated,16,tree,distribution,1055,0.6180094786729858,0.6619173405211141,0.6564018583415352
repeated,17,linear,mean_only,1055,0.6018957345971564,0.6536064690026955,0.6403923954075526
repeated,17,linear,distribution,1055,0.6341232227488152,0.680839173405211,0.6677364634486049
repeated,17,tree,mean_only,1055,0.6113744075829384,0.6530601976639712,0.6333830071331847
repeated,17,tree,distribution,1055,0.6312796208530805,0.6787654986522911,0.6635166893622846
repeated,18,linear,mean_only,1055,0.5857819905213271,0.6461509433962265,0.6364790248262874
repeated,18,linear,distribution,1055,0.6151658767772512,0.6602713387241689,0.6516600022933159
repeated,18,tree,mean_only,1055,0.5943127962085308,0.6277807726864332,0.5921282275690225
repeated,18,tree,distribution,1055,0.6161137440758294,0.658984725965858,0.6599217284940114
repeated,19,linear,mean_only,1055,0.6028436018957346,0.6441437556154537,0.64123782740854
repeated,19,linear,distribution,1055,0.6123222748815166,0.6587187780772686,0.6483016871932814
repeated,19,tree,mean_only,1055,0.6075829383886255,0.6387223719676549,0.618739716005773
repeated,19,tree,distribution,1055,0.6218009478672986,0.6621401617250674,0.6632639398738376
