evaluation,seed,family,feature_view,test_n,test_accuracy,test_auroc,test_auprc
frozen_seed42,42,linear,single_structure_geometry,1057,0.5685903500473037,0.5848818142109371,0.594579166955244
frozen_seed42,42,tree,single_structure_geometry,1057,0.5723746452223274,0.6043407588809405,0.6113425423846948
repeated,10,linear,single_structure_geometry,1055,0.5943127962085308,0.6125947888589398,0.6035797848900303
repeated,10,tree,single_structure_geometry,1055,0.5981042654028436,0.633633423180593,0.6427753618010807
repeated,11,linear,single_structure_geometry,1055,0.5829383886255924,0.5856927223719677,0.586324444999351
repeated,11,tree,single_structure_geometry,1055,0.5829383886255924,0.611906558849955,0.6308331306720962
repeated,12,linear,single_structure_geometry,1055,0.5800947867298578,0.6069829290206649,0.606225704457297
repeated,12,tree,single_structure_geometry,1055,0.5971563981042654,0.6346199460916442,0.6455007606235026
repeated,13,linear,single_structure_geometry,1055,0.5459715639810426,0.5799173405211141,0.5678942896087789
repeated,13,tree,single_structure_geometry,1055,0.5658767772511848,0.5962353998203055,0.6086083118026074
repeated,14,linear,single_structure_geometry,1055,0.5857819905213271,0.6216675651392634,0.6322493989240296
repeated,14,tree,single_structure_geometry,1055,0.5753554502369668,0.6160341419586702,0.6539639490882783
repeated,15,linear,single_structure_geometry,1055,0.5819905213270142,0.5992848158131178,0.6060499704750044
repeated,15,tree,single_structure_geometry,1055,0.6009478672985782,0.6200970350404313,0.6366868979050555
repeated,16,linear,single_structure_geometry,1055,0.576303317535545,0.6145103324348608,0.6071851673959012
repeated,16,tree,single_structure_geometry,1055,0.5829383886255924,0.6018167115902965,0.6153000890559837
repeated,17,linear,single_structure_geometry,1055,0.5554502369668246,0.588639712488769,0.5740839192320377
repeated,17,tree,single_structure_geometry,1055,0.566824644549763,0.6163180592991913,0.6466490083393924
repeated,18,linear,single_structure_geometry,1055,0.5706161137440758,0.6023539982030548,0.5850438625862594
repeated,18,tree,single_structure_geometry,1055,0.5886255924170616,0.6122048517520216,0.6159331312173644
repeated,19,linear,single_structure_geometry,1055,0.5753554502369668,0.5915992812219228,0.6006296919996076
repeated,19,tree,single_structure_geometry,1055,0.5914691943127962,0.6320610961365678,0.6587203964594355
