representation,block,block_kind,family,feature_view,sample_count,positive_prevalence,mean_probability,median_probability,predicted_positive_fraction,accuracy,sensitivity,specificity,false_negative_rate,false_positive_rate,auroc,auprc,balanced_accuracy,split_test_rows,split_test_groups,split_purged_homolog_rows,split_purged_homolog_groups,split_train_rows,split_validation_rows
esmfold,classic_dynamicmpnn,classic,linear,covariates,2803.0,1.0,0.45261800842565,0.42178046703338623,0.35105244381020334,0.35105244381020334,0.35105244381020334,,0.6489475561897966,,,,,2803,2471,1166,677,3703,926
esmfold,classic_dynamicmpnn,classic,linear,embedding,2803.0,1.0,0.34732750112713784,0.2309977114200592,0.30859793078844094,0.30859793078844094,0.30859793078844094,,0.691402069211559,,,,,2803,2471,1166,677,3703,926
esmfold,classic_dynamicmpnn,classic,linear,combined,2803.0,1.0,0.3500428014689929,0.2356686294078827,0.3107384944702105,0.3107384944702105,0.3107384944702105,,0.6892615055297895,,,,,2803,2471,1166,677,3703,926
esmfold,classic_dynamicmpnn,classic,tree,covariates,2803.0,1.0,0.257113347400199,0.2223502754181203,0.09989297181591153,0.09989297181591153,0.09989297181591153,,0.9001070281840885,,,,,2803,2471,1166,677,3703,926
esmfold,classic_dynamicmpnn,classic,tree,embedding,2803.0,1.0,0.2572000961968878,0.18026773729342807,0.15090973956475204,0.15090973956475204,0.15090973956475204,,0.8490902604352479,,,,,2803,2471,1166,677,3703,926
esmfold,classic_dynamicmpnn,classic,tree,combined,2803.0,1.0,0.26714964132751373,0.18957136316732365,0.16625044595076705,0.16625044595076705,0.16625044595076705,,0.833749554049233,,,,,2803,2471,1166,677,3703,926
esmfold,classic_promise,classic,linear,covariates,155.0,1.0,0.526911255813414,0.5311137437820435,0.5741935483870968,0.5741935483870968,0.5741935483870968,,0.4258064516129032,,,,,155,146,133,64,6649,1661
esmfold,classic_promise,classic,linear,embedding,155.0,1.0,0.585158917548195,0.5944243669509888,0.6064516129032258,0.6064516129032258,0.6064516129032258,,0.3935483870967742,,,,,155,146,133,64,6649,1661
esmfold,classic_promise,classic,linear,combined,155.0,1.0,0.5838075150285036,0.5902702808380127,0.6258064516129033,0.6258064516129033,0.6258064516129033,,0.3741935483870968,,,,,155,146,133,64,6649,1661
esmfold,classic_promise,classic,tree,covariates,155.0,1.0,0.5149361252104219,0.5194514671690177,0.5612903225806452,0.5612903225806452,0.5612903225806452,,0.43870967741935485,,,,,155,146,133,64,6649,1661
esmfold,classic_promise,classic,tree,embedding,155.0,1.0,0.5800551651540505,0.6282342521773597,0.6709677419354839,0.6709677419354839,0.6709677419354839,,0.32903225806451614,,,,,155,146,133,64,6649,1661
esmfold,classic_promise,classic,tree,combined,155.0,1.0,0.5874366337293466,0.6260064048141137,0.6967741935483871,0.6967741935483871,0.6967741935483871,,0.3032258064516129,,,,,155,146,133,64,6649,1661
esmfold,classic_rcsb,classic,linear,covariates,989.0,0.0,0.48071777772373087,0.4759632647037506,0.41051567239635994,0.58948432760364,,0.58948432760364,,0.41051567239635994,,,,989,845,697,311,5530,1382
esmfold,classic_rcsb,classic,linear,embedding,989.0,0.0,0.34354836588381266,0.2834582030773163,0.24772497472194135,0.7522750252780587,,0.7522750252780587,,0.24772497472194135,,,,989,845,697,311,5530,1382
esmfold,classic_rcsb,classic,linear,combined,989.0,0.0,0.33633078494984625,0.2661113440990448,0.24570273003033366,0.7542972699696663,,0.7542972699696663,,0.24570273003033366,,,,989,845,697,311,5530,1382
esmfold,classic_rcsb,classic,tree,covariates,989.0,0.0,0.5643352390410755,0.583440382057122,0.6825075834175935,0.31749241658240646,,0.31749241658240646,,0.6825075834175935,,,,989,845,697,311,5530,1382
esmfold,classic_rcsb,classic,tree,embedding,989.0,0.0,0.43145639028930094,0.42569854175013394,0.37613751263902934,0.6238624873609707,,0.6238624873609707,,0.37613751263902934,,,,989,845,697,311,5530,1382
esmfold,classic_rcsb,classic,tree,combined,989.0,0.0,0.43113038516072993,0.4143633717797708,0.3822042467138524,0.6177957532861477,,0.6177957532861477,,0.3822042467138524,,,,989,845,697,311,5530,1382
esmfold,classic_atlas,classic,linear,covariates,240.0,0.0,0.48868079483509064,0.4703673869371414,0.3958333333333333,0.6041666666666666,,0.6041666666666666,,0.3958333333333333,,,,240,221,159,74,6560,1639
esmfold,classic_atlas,classic,linear,embedding,240.0,0.0,0.5553050666504229,0.593040406703949,0.5916666666666667,0.4083333333333333,,0.4083333333333333,,0.5916666666666667,,,,240,221,159,74,6560,1639
esmfold,classic_atlas,classic,linear,combined,240.0,0.0,0.5457336166563134,0.5884781181812286,0.5833333333333334,0.4166666666666667,,0.4166666666666667,,0.5833333333333334,,,,240,221,159,74,6560,1639
esmfold,classic_atlas,classic,tree,covariates,240.0,0.0,0.500105795783391,0.47869963359144574,0.45416666666666666,0.5458333333333333,,0.5458333333333333,,0.45416666666666666,,,,240,221,159,74,6560,1639
